url|name|variety|origin|family|description|reviews
https://www.wine.com/product/domaine-du-terme-gigondas-2019/788314|Domaine du Terme Gigondas 2019|Rhone Red Blends| from Gigondas, Rhone, France|Red Wine||Spectacular Gigondas, this wine’s red-cherry flavors soar on an arc of cool, fresh acidity. A grounding of garrigue and ferrous minerality tethers the wine to the earth, gives it a sense of continuity and quiet power, but the overall impression is of fruit at moment of peak ripeness, preserved with crystal clarity. It’s made by Anne-Marie Gaudin, who farms 27 acres in Gigondas, the vines around 45 years old and grown without any chemical inputs. Straight from the first sniff it's clear this is going to be special. Soaring violets, plum flesh and blueberry, this is rounded and sweetly juicy with well-worked tannins that are present but fine and well melded into the fruit. Not the longest finish, but this is a great vintage for du Terme. Good value. 45-year-old vines on average, 80% destemmed, long fermentation and long élevage.
https://www.wine.com/product/scott-harvey-mountain-selection-zinfandel-2019/794709|Scott Harvey Mountain Selection Zinfandel 2019|Zinfandel| from Amador, Sierra Foothills, California|Red Wine|Fruit forward, rich full flavors expressing both the varietal and the Amador terroir. This complex wine has notes of bright raspberry, earthy tones, briary Zinfandel character with a fresh finish.|This fresh-smelling, full-bodied and flavor-packed wine wraps bold, jammy blackberry and raspberry notes in moderate tannins with a snap of acidity for balance. This will pair nicely with the richest roasts, braises or slow barbecue. COMMENTARY: The 2019 Scott Harvey Mountain Selection Zinfandel is bright and attractive with excellent lasting power. TASTING NOTES: This wine exhibits candied berries aromas and flavors. Try it with a well-seasoned roast leg of lamb. (Tasted: September 25, 2021, San Francisco, CA)
https://www.wine.com/product/vinos-de-arganza-flavium-seleccion-mencia-2020/1172724|Vinos de Arganza Flavium Seleccion Mencia 2020|Mencia| from Bierzo, Spain|Red Wine|Intense ruby color, with ripe blackberry and blueberry aromas and beautifully balanced smoky cedar oak notes. These red fruit notes transpire onto a silky smooth, mouth wateringly juicy, herbal rounded palate leaving a persistent ending taste.Ideal when paired with red meats and cheeses.|COMMENTARY: The 2020 Vinos de Arganza Flavium is a bright and lively red wine. TASTING NOTES: This wine offers aromas and flavors of ripe fruits, hints of flowers, black fruits, and shading of oak. Serve it with meat stews. (Tasted: December 6, 2022, San Francisco, CA)
https://www.wine.com/product/viticcio-chianti-classico-riserva-2017/628038|Viticcio Chianti Classico Riserva 2017|Sangiovese| from Chianti Classico, Chianti, Tuscany, Italy|Red Wine|Intense ruby red with violet nuances. A complexnose with sour cherry, ripe blackberry, and cassis withundertones of cinnamon, nutmeg, and freshly ground pepper.On the palate, soft and fresh, with the alcohol rounding out theharshness of the tannins. Finishes with a long, toasted note. Willage well for more than ten years.Blend: 90% Sangiovese, 5% Merlot, 5% Syrah|Supple and vibrant, yet concentrated, featuring black cherry, blackberry, violet, mineral and tobacco aromas and flavors. Firmly structured and balanced, with a terrific finish that melds all the components and leaves a chalky sensation. Sangiovese and Merlot. Best from 2024 Very fresh for a 2017, with lots of black-cherry and violet character. Some tar, too. Medium-to full-bodied with chewy tannins and a polished finish. From organically grown grapes. Needs a year or two to soften.
https://www.wine.com/product/vinos-de-arganza-lagar-de-robla-premium-mencia-2020/878244|Vinos de Arganza Lagar de Robla Premium Mencia 2020|Mencia| from Bierzo, Spain|Red Wine|Intense, dark-cherry color with spices and red-fruit aromas. Flavors of ripe blackberries and blueberries with a touch of oak. Good balance and backbone on the palate.|Blueberries, plums, violets, walnut husk, dried orange peel and grilled herbs on the nose. It's medium-bodied with grainy tannins and fresh acidity. Pretty finish with bitter-chocolate and walnut notes
https://www.wine.com/product/lungarotti-rubesco-2019/929639|Lungarotti Rubesco 2019|Other Red Blends| from Umbria, Italy|Red Wine|Deep ruby red with slight violet hues. Delicate and with good intensity, elegant complexity with hints of pepper, cinnamon and tobacco. Background notes of red-fruit jam and violet. A wine with solid structure and superb concentration, it evolves with fresh acidity; austere, balanced tannins with a fruity and slightly mineral finish.Ideal pairings include T-bone steak, BBQ with spicy sauce, beef fillet with balsamic condiment and extra virgin olive oil, and roast beef with roast potatoes.|Ripe plums and cherries on the nose, together with hints of walnuts and light coffee. Medium-to full-bodied with a silky mouth feel and rich fruit. The very fine tannins give a little pull on the finish. Sangiovese and colorino.
https://www.wine.com/product/vinos-de-arganza-flavium-premium-crianza-mencia-2020/981995|Vinos de Arganza Flavium Premium Crianza Mencia 2020|Mencia| from Bierzo, Spain|Red Wine|Ochreish red color, strong and thin aromas, elegant and thin harmonious tannin, well-balanced with grape and mature fruit hints.|Stewed blackberries, baked blueberries, earth and wet tobacco on the nose. Medium-to full-bodied with powdery tannins. Flavorful, with ripe, earthy character.
https://www.wine.com/product/jean-marc-burgaud-morgon-cote-du-py-javernieres-2020/1022619|Jean-Marc Burgaud Morgon Cote du Py Javernieres 2020|Gamay| from Beaujolais, Burgundy, France|Red Wine|This is a well-structured wine, redolent of black fruits (mulberries and cherries). Carbonic maceration of the whole berries lasts 12 to 15 days, aand the wine is raised in barrel as well as tank. Jean-Marc's wines are all very bright and pure. Incredible value down the line as Burgaud wines are underpriced compared to other cru Beaujolais producers, especially considering the quality.|Dark, meaty and smoky with a wet-earth undertone, this is a bold and fleshy Morgon that packs a punch at the long, moderately dry and very savory finish. Just beginning to open up, but surely has many years ahead of it. Drink or hold.
https://www.wine.com/product/hacienda-lopez-de-haro-rioja-gran-reserva-2012/932045|Hacienda Lopez de Haro Rioja Gran Reserva 2012|Tempranillo| from Rioja, Spain|Red Wine|Bright cherry-red color and a rim with roof tile tones. High aromatic intensity, clean and sound. Complex on the nose with coffee, vanilla, roast and balsamic nuances integrated into an intense bottom note of ripe fruit. Elegant and round. It is well balanced with a velvety attack followed by a pleasant acidity and a silky and full-bodied aftertaste resulting from its noble and ripe tannin. Its long aftertaste has spicy and balsamic hints, resulting from its long and peaceful ageing, as well as confit fruit nuances that uncover its personality.|COMMENTARY: The 2012 Hacienda Lopez de Haro Gran Reserva is bold and attractive. TASTING NOTES: This wine shines with aromas and flavors of black fruit and licorice. Enjoy it with the first cut from prime rib. (Tasted: June 4, 2022, San Francisco, CA) Ripe cherries and currants on the nose, with lots of aromas of wet leaves, leather, nutshells and wet earth. Medium body with a firm, chalky tannin structure and vivid acidity, making it lively and attractive. Refined and balanced, with cherries, tobacco and wet stones at the end. Tempranillo and graciano. Vegan. Drink or hold.
https://www.wine.com/product/eguren-ugarte-crianza-2019/1158073|Eguren Ugarte Crianza 2019|Tempranillo| from Rioja, Spain|Red Wine|Mature fruit dominates in an incipient bouquet which captures the aging and a slight toasty aroma. Soft tannins makes it more palatable in spite of its young age. Long, excellent aromatic aftertaste.Blend: 80% Tempranillo, 20% Garnacha|Dark plums, black cherries and some roasted cumin. A medium-bodied red with a firm, frosted tannin structure and bright flavors of berries, plums, as well as a savory layer of tree bark and spice. Balance and drinkability is the key here. COMMENTARY: The 2019 Eguren Crianza offers an Old World spin to the wine lover. TASTING NOTES: This wine exhibits aromas and flavors of dried spices, rustic, earthy notes, and black fruits. Enjoy it with an old fashion beef stew. (Tasted: December 6, 2022, San Francisco, CA)
https://www.wine.com/product/piccini-memoro-rosso/141277|Piccini Memoro Rosso|Other Red Blends| from Italy|Red Wine|This wine is a warm, modern style with notes of dark cherries, figs and coffee in a delicate oak frame. Generous on the palate, revealing a bright fruity core. Concentrated, exposing great structure, yet harmonious and soft. Long dense finish.Memoro truly emerged as a cuvee wine, a blend of not only different grapes of different origins in Italy, but also of different vintages: the 12 months oaked casked Montepulciano from Abruzzo, the solar Nero d'Avola from Sicily, the colder climate (Veneto) Merlot and the passito Primitivo wine from Puglia.|Intense nose of bramble fruits, licorice, leather and tobacco. Very nice palate, with smooth and elegant tannins, balanced residual sugar and lingering finish.
