product_url|product_name|product_variety|product_origin|product_family|user_avg_rating|user_rating_count|product_description|product_reviews
https://www.wine.com/product/proyecto-salvaje-del-moncayo-garnacha-2020/1203744|Proyecto Salvaje del Moncayo Garnacha 2020|Grenache| from Navarra, Spain|Red Wine|4.8|19|It is a bright burgundy wine with medium-depth. Tobacco and wild berry aromas.It´s freshness and mineral qualities mix resulting in a surprising wine that due to its roundness and youth.|Decanter,92,This is part of the Proyecto Garnachas de España  a collection of six wines made by Raul Acha in five different areas of Aragón  Catalonia and Rioja. The vines for this wine are at about 800m on the north face of the Moncayo  a mountain north of Calatayud  in the Aragon region. Manual harvest in mid-October is followed by a two week maceration and then five months ageing in French oak. It's light in color  with earthy  cherry-laced aromas that hint at elegance and delicacy. It still has mid-palate presence  however  and a stylish feel. Juicy and mouthwatering. This will be in stores from November.;Wilfred Wong of Wine.com,91,COMMENTARY: The 2020 Proyecto Garnachas Salvaje del Moncayo La Garnacha is bright  generous  and nicely textured. TASTING NOTES: This wine excels with aromas and flavors of dried strawberries  tart raspberries  and an accent of oak. Enjoy it with grilled skewered pork. (Tasted: February 17  2023  San Francisco  CA)
https://www.wine.com/product/domaine-du-terme-gigondas-2019/788314|Domaine du Terme Gigondas 2019|Rhone Red Blends| from Gigondas, Rhone, France|Red Wine|4.0|17||Wine & Spirits,96,Spectacular Gigondas  this wine’s red-cherry flavors soar on an arc of cool  fresh acidity. A grounding of garrigue and ferrous minerality tethers the wine to the earth  gives it a sense of continuity and quiet power  but the overall impression is of fruit at moment of peak ripeness  preserved with crystal clarity. It’s made by Anne-Marie Gaudin  who farms 27 acres in Gigondas  the vines around 45 years old and grown without any chemical inputs.;Decanter,94,Straight from the first sniff it's clear this is going to be special. Soaring violets  plum flesh and blueberry  this is rounded and sweetly juicy with well-worked tannins that are present but fine and well melded into the fruit. Not the longest finish  but this is a great vintage for du Terme. Good value. 45-year-old vines on average  80% destemmed  long fermentation and long élevage.
https://www.wine.com/product/scott-harvey-mountain-selection-zinfandel-2019/794709|Scott Harvey Mountain Selection Zinfandel 2019|Zinfandel| from Amador, Sierra Foothills, California|Red Wine|4.3|39|Fruit forward  rich full flavors expressing both the varietal and the Amador terroir. This complex wine has notes of bright raspberry  earthy tones  briary Zinfandel character with a fresh finish.|Wine Enthusiast,93,This fresh-smelling  full-bodied and flavor-packed wine wraps bold  jammy blackberry and raspberry notes in moderate tannins with a snap of acidity for balance. This will pair nicely with the richest roasts  braises or slow barbecue.;Wilfred Wong of Wine.com,90,COMMENTARY: The 2019 Scott Harvey Mountain Selection Zinfandel is bright and attractive with excellent lasting power. TASTING NOTES: This wine exhibits candied berries aromas and flavors. Try it with a well-seasoned roast leg of lamb. (Tasted: September 25  2021  San Francisco  CA)
https://www.wine.com/product/viticcio-chianti-classico-riserva-2017/628038|Viticcio Chianti Classico Riserva 2017|Sangiovese| from Chianti Classico, Chianti, Tuscany, Italy|Red Wine|5.0|5|Intense ruby red with violet nuances. A complexnose with sour cherry  ripe blackberry  and cassis withundertones of cinnamon  nutmeg  and freshly ground pepper.On the palate  soft and fresh  with the alcohol rounding out theharshness of the tannins. Finishes with a long  toasted note. Willage well for more than ten years.Blend: 90% Sangiovese  5% Merlot  5% Syrah|Wine Spectator,94,Supple and vibrant  yet concentrated  featuring black cherry  blackberry  violet  mineral and tobacco aromas and flavors. Firmly structured and balanced  with a terrific finish that melds all the components and leaves a chalky sensation. Sangiovese and Merlot. Best from 2024;James Suckling,92,Very fresh for a 2017  with lots of black-cherry and violet character. Some tar  too. Medium-to full-bodied with chewy tannins and a polished finish. From organically grown grapes. Needs a year or two to soften.;Robert Parker's Wine Advocate,91,A certified organic wine  the 2017 Chianti Classico Riserva shows signs of the hot vintage with black and baked fruit. There is ample depth and richness  and this Riserva certainly embraces a full-bodied style  especially for Sangiovese (blended here with 5% Merlot and 5% Syrah). There is a hint of sweetness on the close  with some blackberry or cherry confit  but the bouquet is also framed by soft oak spice and smoke. This wine is probably best for near and medium-term drinking. Best After 2022
https://www.wine.com/product/adriano-marco-e-vittorio-sanadaive-barbaresco-2019/1221680|Adriano Marco e Vittorio Sanadaive Barbaresco 2019|Nebbiolo| from Barbaresco, Piedmont, Italy|Red Wine|4.9|5|Garnet red reflections with orange streaks. Intense scent of wild rose  violet  licorice and withered flowers. On the palate it is straightforward  sincere and delicate  pleasantly harmonious with silky tannins.Pair with risotto  tagliatelle and heavy roasts.|Wine Enthusiast,94,Aromas evoking blue flower  perfumed talcum powder and fragrant berry waft out of the glass. Polished and lithe  the juicy palate offers bright red cherry  strawberry and cinnamon alongside taut  fine-grained tannins. It's well balanced  with fresh acidity. It's already accessible but will drink well for several years or more. Drink through 2029.;Wine Spectator,90,A sleek  taut red  offering cherry  tar  eucalyptus and mineral aromas and flavors. Balanced in a linear way  with refined tannins and a focused finish. Best from 2024 through 2038.
https://www.wine.com/product/quinta-do-portal-grande-reserva-tinto-2016/600039|Quinta do Portal Grande Reserva Tinto 2016|Other Red Blends| from Douro, Portugal|Red Wine|4.1|40|A big wine from a great year! The harvest of 2016 delivered fruity but very serious wines. It’s dark in color  with very complex aromatic profile  ripe red fruits  blackberries and dark cherry. Fresh on the mouth  with serious but round tannins  and a toasted note in complement to the fruit. The finish is long and complex  telling us that cellaring this wine a few more years will be a good decision. However we shouldn't lose the opportunity to enjoy it also right now  with all its irreverent youth coming through the glass.|Wine Enthusiast,94,This is a rich  impressively dense wine. This vintage is exceptional with its poise between richness and opulent black fruits. With its tannins and great concentration  it is just approaching readiness. Preferably wait until late 2020 to drink.;Wine Spectator,93,A vibrant medley of cherry tart and raspberry reduction flavors marks this powerful but charming red  with accents of licorice and floral. Dusty tannins meld over the mineral and bergamot tea notes on the finish. Best from 2020 through 2028.;Robert Parker's Wine Advocate,90,The 2016 Grande Reserva is mostly a 60/30 blend of Touriga Nacional and Tinta Roriz  with 10% Touriga Franca  aged for 14 months in new French oak. It comes in at 14% alcohol. Despite lower alcohol  in perception  this adds extra concentration compared to the regular Reserva  plus more power. The tannins are rather ripe  though. The easygoing Reserva is ready now  but the Grande Reserva might benefit from a year or two in the cellar. Still  this is not a great Grande Reserva this issue. Like the Reserva  it is a bit understated. Also like the Reserva  it is wonderfully fresh and easy to drink with food  a very elegant wine.
https://www.wine.com/product/vinos-de-arganza-flavium-seleccion-mencia-2020/1172724|Vinos de Arganza Flavium Seleccion Mencia 2020|Mencia| from Bierzo, Spain|Red Wine|4.7|21|Intense ruby color  with ripe blackberry and blueberry aromas and beautifully balanced smoky cedar oak notes. These red fruit notes transpire onto a silky smooth  mouth wateringly juicy  herbal rounded palate leaving a persistent ending taste.Ideal when paired with red meats and cheeses.|Wilfred Wong of Wine.com,91,COMMENTARY: The 2020 Vinos de Arganza Flavium is a bright and lively red wine. TASTING NOTES: This wine offers aromas and flavors of ripe fruits  hints of flowers  black fruits  and shading of oak. Serve it with meat stews. (Tasted: December 6  2022  San Francisco  CA)
https://www.wine.com/product/lungarotti-rubesco-2019/929639|Lungarotti Rubesco 2019|Other Red Blends| from Umbria, Italy|Red Wine|4.0|7|Deep ruby red with slight violet hues. Delicate and with good intensity  elegant complexity with hints of pepper  cinnamon and tobacco. Background notes of red-fruit jam and violet. A wine with solid structure and superb concentration  it evolves with fresh acidity  austere  balanced tannins with a fruity and slightly mineral finish.Ideal pairings include T-bone steak  BBQ with spicy sauce  beef fillet with balsamic condiment and extra virgin olive oil  and roast beef with roast potatoes.|James Suckling,92,Ripe plums and cherries on the nose  together with hints of walnuts and light coffee. Medium-to full-bodied with a silky mouth feel and rich fruit. The very fine tannins give a little pull on the finish. Sangiovese and colorino.
https://www.wine.com/product/dutton-goldfield-cherry-ridge-vineyard-syrah-2016/1150541|Dutton-Goldfield Cherry Ridge Vineyard Syrah 2016|Syrah/Shiraz| from Russian River, Sonoma County, California|Red Wine|5.0|14|As with all the wines this vintage  there’s a friendly forwardness to this Syrah  which shows in the exuberant bright boysenberry fruit that leads the nose. The characteristic leather and sandalwood savory notes back up the fruit  along with some pretty purple flower aromas of violet and wisteria. In the glass  the densityand richness of the wine is apparent  and the mouth delivers that promise  withblackberry pie framed by white pepper and cedar  along with a touch of grilled meat adding a wild element to the flavors. Firm but round tannins carry the juicy fruit and dusky spice to a lengthy finish. Grilled meats come to mind first as excellent matches  such as spare ribs  grilled lamb  or Carolina pulled pork. A tangy and creamy cheese brings out the sweet fruit and texture of the wine beautifully. We love a goat Gouda  Bellwether’s Pepato  and a mild Camembert.|Wine & Spirits,95,This grows on three acres of syrah at the top of a south- facing ridge  where the vines ripen their fruit in an otherwise cool spot for the variety in western Green Valley  above the northern reaches of the Petaluma Gap. It was the last fruit Dan Goldfield harvested in 2016  which he then destemmed and left for a five-day cold soak before fermenting it in small open- top vats. Over the course of 23 months in oak barrels (40 percent new)  the wine developed layers of darkness and light—the cool feel of a coastal forest (think Armstrong Woods). For now  it has the fragrant restraint and tension of a far-coast pinot noir  with a deeper syrah tone to its damson plum fruit. That inner tension will sustain its freshness as the wine develops with age.;Wine Enthusiast,93,From a site on the western edges of the appellation  this wine spent 23 months in French oak  40% of it new. Baked plum  raspberry and blueberry fruit match a core of gamy intensity and elements of iron  leather and violet  the texture layered and thick.;Wine Spectator,92,Deeply structured yet retains finesse  offering smoked meat  blueberry and grilled sweet anise flavors that build tension toward medium-grained tannins. Best from 2023 through 2030.
https://www.wine.com/product/vinos-de-arganza-lagar-de-robla-premium-mencia-2020/878244|Vinos de Arganza Lagar de Robla Premium Mencia 2020|Mencia| from Bierzo, Spain|Red Wine|4.5|43|Intense  dark-cherry color with spices and red-fruit aromas. Flavors of ripe blackberries and blueberries with a touch of oak. Good balance and backbone on the palate.|James Suckling,91,Blueberries  plums  violets  walnut husk  dried orange peel and grilled herbs on the nose. It's medium-bodied with grainy tannins and fresh acidity. Pretty finish with bitter-chocolate and walnut notes
